index,A,B,C,beta,omega,phi,tc_delta,mse_resid,oscillations,damping_factor,min_rel_err,max_rel_err
0,6.5777714531127875,-0.7561620950463954,0.010425806752703548,0.1,6.0,0.9,1.0,0.00021706573082095885,3.8608295666989387,1.2087986937642543,-0.04150815998637875,0.03294851499814197
0,6.642109847914047,-0.8323609948143127,0.010943400132478576,0.1,6.0,0.9,2.0,0.0001953622241810267,3.2155306571704427,1.2676757752586336,-0.03721428505578151,0.031281892695671006
0,6.6914869891088,-0.8901512271495102,0.009772460144490291,0.1,6.0,0.9,3.0,0.00019864293226540673,2.8446639813411436,1.5181288607444072,-0.03390623476518319,0.030622868578092072
0,6.747920106473501,-0.9566309246069311,0.007339641439899611,0.1,6.0,0.9,4.0,0.00020898636632586134,2.585997453878508,2.172292594127994,-0.031727384676088384,0.03022329565655916
0,6.577298190551744,-0.7555256059920747,0.010753834974765314,0.1,6.0,1.0,1.0,0.00021561461978497558,3.8608295666989387,1.1709398054507574,-0.04084932338776194,0.033847513122552804
0,6.642825275784785,-0.8332953249745962,0.010973561529463799,0.1,6.0,1.0,2.0,0.00019566696596700242,3.2155306571704427,1.2656105658088832,-0.03640804977259963,0.03214401877638716
0,6.69341221015306,-0.8926759350074347,0.009431008247134567,0.1,6.0,1.0,3.0,0.000200619808305041,2.8446639813411436,1.5775547916251997,-0.03330211160981071,0.031234281125649646
0,6.750232078516216,-0.9596594475207567,0.006819710419847649,0.1,6.0,1.0,4.0,0.00021109139455025502,2.585997453878508,2.3453083988430192,-0.03150873938362843,0.030533309476515277
0,6.577265876408078,-0.7554928577975772,0.010955110244872446,0.1,6.0,1.1,1.0,0.00021486522249648175,3.8608295666989387,1.1493766241059156,-0.040122178512528466,0.03475988740170331
0,6.643966665677359,-0.8348143091269904,0.010860863807740068,0.1,6.0,1.1,2.0,0.00019676003952784961,3.2155306571704427,1.2810741452137144,-0.03563125880601221,0.032946991624311646
0,6.695772318086977,-0.8957822047359061,0.008948832230766396,0.1,6.0,1.1,3.0,0.0002030988544145197,2.8446639813411436,1.6683409664264643,-0.03282392481432498,0.03170745114710047
0,6.752656290441648,-0.962850433472334,0.0061985596122152015,0.1,6.0,1.1,4.0,0.00021332995311481676,2.585997453878508,2.588909073797541,-0.03144585461296661,0.03069484132200285
0,6.577695551011114,-0.7560920896848571,0.011015381134523522,0.1,6.0,1.2000000000000002,1.0,0.00021488556417781566,3.8608295666989387,1.1439944450570336,-0.03935960521323177,0.03564101550138609
0,6.645491493966903,-0.836861969958723,0.010598804130576678,0.1,6.0,1.2000000000000002,2.0,0.00019861386046596252,3.2155306571704427,1.3159691723214402,-0.03492402379801299,0.033648292716768384
0,6.698443756060138,-0.8993074804606218,0.00833577503520136,0.1,6.0,1.2000000000000002,3.0,0.00020595060418832295,2.8446639813411436,1.7980881135085682,-0.032498410180390784,0.03201582426987399
0,6.755063816242784,-0.9660341740547551,0.005490783235777133,0.1,6.0,1.2000000000000002,4.0,0.00021558298279447495,2.585997453878508,2.93229014444976,-0.031542068998219576,0.03069926518674664
0,6.578581372496277,-0.7573147265392137,0.010924651656159523,0.1,6.0,1.3,1.0,0.000215701350962105,3.8608295666989387,1.1553606015318967,-0.03859920824368758,0.03644475230564444
0,6.647331089242657,-0.8393464254584613,0.010186615947943567,0.1,6.0,1.3,2.0,0.0002011521193158798,3.2155306571704427,1.373283057147003,-0.034324430716700945,0.03420930705375786
0,6.701282097986275,-0.903061119982933,0.007607798766502041,0.1,6.0,1.3,3.0,0.00020902061142414566,2.8446639813411436,1.9783670846623174,-0.03234204033421144,0.03214393030691028
0,6.757328435697694,-0.9690435553776675,0.0047145960775888535,0.1,6.0,1.3,4.0,0.00021773195966497035,2.585997453878508,3.4256860306092136,-0.03179015028467817,0.03054845377401489
0,6.579888163735834,-0.7591120690155488,0.010678686260330444,0.1,6.0,1.4000000000000001,1.0,0.00021728910222939665,3.8608295666989387,1.1847775567604617,-0.03788060226418145,0.037127267207314234
0,6.649394480408342,-0.8421449679452744,0.009629923452761036,0.1,6.0,1.4000000000000001,2.0,0.00020425256581608174,3.2155306571704427,1.457514126109728,-0.03386511326281424,0.03459894672223554
0,6.704135468482512,-0.9068421195367344,0.006785459451014192,0.1,6.0,1.4000000000000001,3.0,0.0002121438527920821,2.8446639813411436,2.2274151713268604,-0.032359709225596694,0.03208859104066502
0,6.759337572295633,-0.9717285779841163,0.003890133636501966,0.1,6.0,1.4000000000000001,4.0,0.00021966924373326662,2.585997453878508,4.163218494030542,-0.0321733461262274,0.030254208324368884
0,6.581552357975992,-0.7613966382053454,0.01027992925696214,0.1,6.0,1.5,1.0,0.00021957462500454906,3.8608295666989387,1.2344388422220667,-0.037242074459482195,0.037651100238894404
0,6.651575276395786,-0.845113314213803,0.008940624857087853,0.1,6.0,1.5,2.0,0.00020775561945789883,3.2155306571704427,1.575418064029054,-0.033570206259148715,0.03479665217822145
0,6.706858199893471,-0.910457217276277,0.005891853219119392,0.1,6.0,1.5,3.0,0.00021515970901038779,2.8446639813411436,2.5754692777076,-0.03254495261534309,0.031858506689588395
0,6.761000738046329,-0.9739676880100845,0.0030376338260695995,0.1,6.0,1.5,4.0,0.0002213063140306069,2.585997453878508,5.343894534244018,-0.0326675191436883,0.02983651732177388
0,6.583486588748556,-0.7640485022771593,0.00973760556324657,0.1,6.0,1.6,1.0,0.00022243775648619245,3.8608295666989387,1.3077282317413654,-0.03671714877785716,0.03798872797034913
0,6.653760607175132,-0.8480977284862137,0.008135978214213968,0.1,6.0,1.6,2.0,0.0002114777274264051,3.2155306571704427,1.737340215186712,-0.03345323220771556,0.034794208641199954
0,6.709322365247509,-0.9137362398216462,0.004950438922498912,0.1,6.0,1.6,3.0,0.00021792490591272904,2.8446639813411436,3.076280218537353,-0.032881531365020485,0.031472435564104354
0,6.7622543815701,-0.9756744204887324,0.002175821200653863,0.1,6.0,1.6,4.0,0.00022257877683028315,2.585997453878508,7.473610578200156,-0.03324388241189309,0.029321071540926683
0,6.585587328511227,-0.7669257618244436,0.009066941432156667,0.1,6.0,1.7000000000000002,1.0,0.00022572290371528902,3.8608295666989387,1.4097472809380482,-0.03633165424694689,0.03812497439080592
0,6.655840653585522,-0.8509480221500896,0.007237042233570468,0.1,6.0,1.7000000000000002,2.0,0.0002152272803621577,3.2155306571704427,1.9597048874534155,-0.03351628575412488,0.03459606105833026
0,6.711425597328008,-0.9165425663857194,0.003983119020402964,0.1,6.0,1.7000000000000002,3.0,0.000220322582294821,2.8446639813411436,3.83511247379612,-0.03334592079157457,0.030956469556388175
0,6.763062974093088,-0.9767990879441673,0.0013207230532498518,0.1,6.0,1.7000000000000002,4.0,0.00022344789446043732,2.585997453878508,12.326569721797414,-0.033871797459321194,0.028736556829292985
0,6.587744258892709,-0.7698773860500028,0.008287645700517071,0.1,6.0,1.8,1.0,0.00022925355646965162,3.8608295666989387,1.548243039238453,-0.03610180303800622,0.03805785018165346
0,6.657717202096308,-0.8535292932116949,0.006266761910867197,0.1,6.0,1.8,2.0,0.00021882039378960845,3.2155306571704427,2.269990215445474,-0.03375058624254246,0.034218150035101
0,6.71309467769572,-0.9187780029051984,0.0030088382722034956,0.1,6.0,1.8,3.0,0.00022226680292521768,2.8446639813411436,5.089328614486257,-0.033910138315621334,0.030341010314822982
0,6.763416966758211,-0.9773263094699125,0.00048501379452554894,0.1,6.0,1.8,4.0,0.00022389914132922955,2.585997453878508,33.5841413344389,-0.03452119483343643,0.028112184527330924
0,6.589849717139544,-0.7727561333944588,0.007421952672757526,0.1,6.0,1.9000000000000001,1.0,0.0002328481290633436,3.8608295666989387,1.735293858337489,-0.03603353994911812,0.03779777345290056
0,6.659309998786487,-0.8557307153572564,0.005248039707215046,0.1,6.0,1.9000000000000001,2.0,0.00022209412078096576,3.2155306571704427,2.7176201753351545,-0.034138171572843795,0.03368560422183565
0,6.714285347485356,-0.9203826436132312,0.002042798737129717,0.1,6.0,1.9000000000000001,3.0,0.00022370290617634882,2.8446639813411436,7.509163995490135,-0.03454440261719046,0.02965797346915298
0,6.763328700236439,-0.9772697821407164,-0.0003221394323293658,0.1,6.0,1.9000000000000001,4.0,0.00022393874263271546,2.585997453878508,50.5614279648077,-0.03516436043010827,0.027475758806482266
0,6.591806708777247,-0.7754294935768118,0.006492593440677014,0.1,6.0,2.0,1.0,0.00023633445954787243,3.8608295666989387,1.99054892486834,-0.0361231245533149,0.03736548185148155
0,6.6605602921977685,-0.857470518048276,0.00420208973899891,0.1,6.0,2.0,2.0,0.00022491552017910079,3.2155306571704427,3.4009686104917116,-0.03465430487845721,0.03302981162371021
0,6.714979390381182,-0.921331097528209,0.001096248949748857,0.1,6.0,2.0,3.0,0.00022460476481045915,2.8446639813411436,14.00732771115052,-0.035219286046712164,0.028938562675500986
0,6.762827416417618,-0.9766658045353447,-0.0010948378804284675,0.1,6.0,2.0,4.0,0.00022358925000890556,2.585997453878508,14.867738593911337,-0.03577702105181403,0.026852395946989474
0,6.593534502234465,-0.7777873103547699,0.005521022559928784,0.1,6.0,2.1,1.0,0.00023956097912308016,3.8608295666989387,2.3479566871056905,-0.03635865685634898,0.03678917197312065
0,6.6614316121752335,-0.8586971958657101,0.0031472638728214652,0.1,6.0,2.1,2.0,0.00022718610149364762,3.2155306571704427,4.547321263617169,-0.03527010678410493,0.03228541517399836
0,6.715180214039064,-0.9216266983918606,0.00017671855182044283,0.1,6.0,2.1,3.0,0.00022497027058170766,2.8446639813411436,86.92038733321478,-0.03590721615184278,0.028211748575405947
0,6.761954319223464,-0.975566807866298,-0.001829957553281969,0.1,6.0,2.1,4.0,0.00022288504673336775,2.585997453878508,8.885149695746138,-0.03633880584024822,0.026263860764869338
0,6.594971494428474,-0.7797456664005309,0.004526113089278666,0.1,6.0,2.2,1.0,0.00024240361879926002,3.8608295666989387,2.8712851071838044,-0.03672212760431034,0.03610144841383398
0,6.661908329851013,-0.8593876707799453,0.0020984110240922227,0.1,6.0,2.2,2.0,0.00022884212946424576,3.2155306571704427,6.825701772382099,-0.03595499636290668,0.03148766587535257
0,6.714908012605182,-0.9212951329336274,-0.000711458846167537,0.1,6.0,2.2,3.0,0.0002248162289756982,2.8446639813411436,21.58230088070518,-0.0365833409520216,0.027503422679968418
